time,Det_Voltage,TOFHGMAX,TOFHGMIN,TOFLGMAX,TOFLGMIN,TOFMGMAX,TOFMGMIN,Target_High_Gain_Max,Target_High_Gain_Min,Target_Low_Gain_Max,Target_Low_Gain_Min
2025-343T01:32:55.928,,525.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-343T01:33:01.928,,527.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-343T01:33:04.928,2001.4632,,,,,,,,,,
2025-343T01:33:07.928,,531.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-343T01:33:13.928,,537.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-343T01:33:19.928,,526.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-343T01:33:25.928,,528.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-343T01:33:29.928,2001.4632,,,,,,,,,,
2025-343T01:33:31.928,,542.0,500.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2066.0,2061.0
2025-343T01:33:37.928,,540.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-343T01:33:43.928,,535.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-343T01:33:49.928,,526.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-343T01:33:55.928,,530.0,499.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2066.0,2061.0
2025-343T01:33:56.928,2001.4632,,,,,,,,,,
2025-343T01:34:01.928,,558.0,499.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2066.0,2061.0
2025-343T01:34:07.928,,531.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-343T01:34:13.928,,537.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-343T01:34:19.928,,533.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-343T01:34:22.928,2001.4632,,,,,,,,,,
2025-343T01:34:25.928,,528.0,500.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2066.0,2061.0
2025-343T01:34:31.928,,534.0,500.0,518.0,509.0,516.0,509.0,2049.0,2040.0,2066.0,2061.0
2025-343T01:34:37.928,,530.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-343T01:34:43.927,,529.0,499.0,518.0,509.0,516.0,510.0,2048.0,2039.0,2066.0,2061.0
2025-343T01:34:47.927,1591.2072,,,,,,,,,,
2025-343T01:34:49.927,,523.0,72.0,943.0,509.0,516.0,272.0,2053.0,2038.0,2066.0,2061.0
2025-343T01:34:55.927,,418.0,73.0,858.0,602.0,478.0,272.0,2048.0,2040.0,2066.0,2061.0
2025-343T01:35:01.927,,418.0,73.0,858.0,602.0,478.0,272.0,2048.0,2040.0,2066.0,2060.0
2025-343T01:35:07.927,,418.0,73.0,858.0,602.0,478.0,272.0,2048.0,2040.0,2066.0,2061.0
2025-343T01:35:13.927,,418.0,73.0,858.0,602.0,478.0,272.0,2047.0,2040.0,2066.0,2061.0
2025-343T01:35:14.927,203.6628,,,,,,,,,,
2025-343T01:35:19.927,,418.0,73.0,858.0,602.0,478.0,272.0,2047.0,2040.0,2066.0,2060.0
2025-343T01:35:25.927,,418.0,73.0,858.0,602.0,478.0,272.0,2047.0,2040.0,2066.0,2060.0
2025-343T01:35:31.927,,418.0,73.0,858.0,602.0,478.0,272.0,2047.0,2040.0,2066.0,2061.0
2025-343T01:35:37.927,,418.0,73.0,858.0,602.0,478.0,272.0,2049.0,2040.0,2066.0,2060.0
2025-343T01:35:40.927,203.6628,,,,,,,,,,
