Dust Event ID,UTC Timestamp,Local Timestamp,Integer Timestamp (ms),Velocity (m/s),Mass (kg),Charge (C),Radius (m) ,High Voltage (MV),Current Group ID,Current Experiment Name,Current Experiment Description,Estimate Quality,Dust Type
8543943,20231213194215.702999999,20231213124215.702999999,1702496535703,3.726670E+3,2.597097E-16,8.203800E-16,1.989458E-7,2.198294E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8543944,20231213194215.947000000,20231213124215.947000000,1702496535947,3.945960E+3,5.910730E-17,2.093300E-16,1.214653E-7,2.198294E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8543945,20231213194218.334999999,20231213124218.334999999,1702496538335,2.240910E+3,1.397567E-16,1.596270E-16,1.618190E-7,2.198294E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8543948,20231213194228.121000000,20231213124228.121000000,1702496548121,2.109060E+3,2.960347E-16,2.995060E-16,2.078195E-7,2.198294E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8543952,20231213194247.615999999,20231213124247.615999999,1702496567616,3.638460E+3,6.857838E-17,2.064940E-16,1.276344E-7,2.198294E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8543958,20231213194320.862999999,20231213124320.862999999,1702496600863,2.942430E+3,1.602376E-16,3.157220E-16,1.693662E-7,2.197063E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8543961,20231213194333.501999999,20231213124333.501999999,1702496613502,2.724290E+3,2.172398E-14,3.667170E-14,8.700652E-7,2.198294E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8543962,20231213194338.117000000,20231213124338.117000000,1702496618117,8.210310E+3,7.655613E-17,1.174430E-15,1.324033E-7,2.197063E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8543964,20231213194339.087999999,20231213124339.087999999,1702496619088,2.491000E+3,6.468818E-17,9.134830E-17,1.251739E-7,2.197063E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",3," Iron "
8543969,20231213194357.560999999,20231213124357.560999999,1702496637561,2.477380E+3,1.419699E-16,1.982940E-16,1.626687E-7,2.197063E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8543978,20231213194439.962000000,20231213124439.962000000,1702496679962,2.454480E+3,3.308408E-16,4.533390E-16,2.156643E-7,2.198294E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8543979,20231213194445.660999999,20231213124445.660999999,1702496685661,2.200460E+3,1.962697E-16,2.161550E-16,1.812132E-7,2.198294E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",4," Iron "
8543981,20231213194450.503000000,20231213124450.503000000,1702496690503,8.545730E+3,1.546436E-17,2.570150E-16,7.768718E-8,2.197063E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8543984,20231213194501.310999999,20231213124501.310999999,1702496701311,8.420710E+3,1.024041E-17,1.651580E-16,6.771388E-8,2.198294E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",4," Iron "
8543987,20231213194509.597999999,20231213124509.597999999,1702496709598,2.488720E+3,3.624301E-16,5.108630E-16,2.223208E-7,2.197063E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
