,Time [us],Combined TOF [pC/dt]
4359,1.161538461538461,0.00359799999999999
4360,1.1653846153846157,0.002569999999999961
4361,1.1692307692307704,0.0020560000000000023
4362,1.1730769230769251,0.0015419999999999878
4363,1.1769230769230763,0.0041120000000000045
4364,1.180769230769231,0.0015419999999999878
4365,1.1846153846153857,0.00359799999999999
4366,1.1884615384615405,0.0015419999999999878
4367,1.1923076923076916,0.00359799999999999
4368,1.1961538461538463,0.0015419999999999878
4369,1.200000000000001,0.0020560000000000023
4370,1.2038461538461558,0.0015419999999999878
4371,1.207692307692307,0.0020560000000000023
4372,1.2115384615384617,0.002569999999999961
4373,1.2153846153846164,0.0005139999999999589
4374,1.2192307692307711,0.0015419999999999878
4375,1.2230769230769223,0.0005139999999999589
4376,1.226923076923077,0.0030839999999999756
4377,1.2307692307692317,0.0005139999999999589
4378,1.2346153846153864,0.0030839999999999756
4379,1.2384615384615376,0.0005139999999999589
4380,1.2423076923076923,0.0030839999999999756
4381,1.246153846153847,0.0010279999999999734
4382,1.2500000000000018,0.0020560000000000023
4383,1.253846153846153,0.0015419999999999878
4384,1.2576923076923077,0.0020560000000000023
4385,1.2615384615384624,0.0020560000000000023
4386,1.265384615384617,0.0010279999999999734
4387,1.2692307692307683,0.0015419999999999878
4388,1.273076923076923,0.0
4389,1.2769230769230777,0.002569999999999961
4390,1.2807692307692324,0.0
4391,1.2846153846153836,0.0020560000000000023
4392,1.2884615384615383,0.0005139999999999589
4393,1.292307692307693,0.002569999999999961
4394,1.2961538461538478,0.0
4395,1.299999999999999,0.0015419999999999878
4396,1.3038461538461537,0.0007923262404884838
4397,1.3076923076923084,0.0007574592625659818
4398,1.311538461538463,0.0007126376536032558
4399,1.3153846153846143,0.000687659670977028
4400,1.319230769230769,0.0006626600706149067
4401,1.3230769230769237,0.0006078409070078763
4402,1.3269230769230784,0.0005629331332281783
4403,1.3307692307692296,0.000547802300944191
4404,1.3346153846153843,0.0005525158604419494
4405,1.338461538461539,0.00053734316062998
4406,1.3423076923076938,0.0005320824490712913
4407,1.346153846153845,0.0005565992719796676
4408,1.3499999999999996,0.000610893774248475
4409,1.3538461538461544,0.0005857063994628552
4410,1.357692307692309,0.0005406334899131287
4411,1.3615384615384603,0.0005154059866040678
4412,1.365384615384615,0.0005199567292825554
4413,1.3692307692307697,0.00048475695643715
4414,1.3730769230769244,0.0004892684053239686
4415,1.3769230769230756,0.0005235585119699698
4416,1.3807692307692303,0.0005379639111957356
4417,1.384615384615385,0.0005026866366236687
4418,1.3884615384615397,0.00048725572069126667
4419,1.3923076923076945,0.0005115366946680609
4420,1.3961538461538456,0.0004960680886659222
4421,1.4000000000000004,0.00043091733164799645
4422,1.403846153846155,0.00040547885144765123
4423,1.4076923076923098,0.0003800219747820816
4424,1.411538461538461,0.000354546827251966
4425,1.4153846153846157,0.00029925543336866995
4426,1.4192307692307704,0.000273744116562305
4427,1.4230769230769251,0.0002680802991823503
4428,1.4269230769230763,0.0002723314025266353
4429,1.430769230769231,0.00023683404683916992
4430,1.4346153846153857,0.00022118455132643126
4431,1.4384615384615405,0.0002452484341709557
4432,1.4423076923076916,0.00025936231253868456
4433,1.4461538461538463,0.00025359360259108324
4434,1.450000000000001,0.0002478078194946712
4435,1.4538461538461558,0.00026187047743523803
4436,1.457692307692307,0.0002560508896246958
4437,1.4615384615384617,0.00024028186831262337
4438,1.4653846153846164,0.0002145635247964709
4439,1.4692307692307711,0.0002186267694316269
4440,1.4730769230769223,0.0002028082116413729
4441,1.476923076923077,0.000177040659925542
4442,1.4807692307692317,0.00015125692187369826
4443,1.4846153846153864,0.00015525520417007297
4444,1.4884615384615376,0.00014930481260878718
4445,1.4923076923076923,0.00011354045209627066
4446,1.496153846153847,8.769302666396142e-05
4447,1.5000000000000018,7.176263947967967e-05
4448,1.503846153846153,3.595129285317595e-05
4449,1.5076923076923077,-4.9539011753828516e-05
4450,1.5115384615384624,-8.538117372000457e-05
4451,1.515384615384617,-7.157509325127101e-05
4452,1.5192307692307683,-4.7851471380073876e-05
4453,1.523076923076923,-2.4142909949116057e-05
4454,1.5269230769230777,9.48338839141063e-06
4455,1.5307692307692324,6.296022019760227e-05
