,Time,TOF H,TOF M,TOF L
1487,-9.884615384615385,0.031746680942184156,0.017018026,0.262654
1488,-9.880769230769232,0.031375374732334045,0.016918699,0.264196
1489,-9.876923076923077,0.0314372591006424,0.016918699,0.262654
1490,-9.873076923076923,0.031808565310492504,0.017018026,0.26471
1491,-9.86923076923077,0.031808565310492504,0.016984917,0.262654
1492,-9.865384615384617,0.0314372591006424,0.016951808,0.26471
1493,-9.861538461538462,0.0315610278372591,0.016951808,0.263682
1494,-9.857692307692307,0.0316847965738758,0.017018026,0.265224
1495,-9.853846153846154,0.03149914346895075,0.016951808,0.262654
1496,-9.850000000000001,0.031375374732334045,0.016918699,0.263682
1497,-9.846153846153847,0.03149914346895075,0.016951808,0.264196
1498,-9.842307692307692,0.031808565310492504,0.016984917,0.263682
1499,-9.838461538461539,0.03162291220556745,0.016951808,0.26471
1500,-9.834615384615386,0.0314372591006424,0.016951808,0.263168
1501,-9.830769230769231,0.0316847965738758,0.017018026,0.263682
1502,-9.826923076923077,0.031808565310492504,0.016984917,0.262654
1503,-9.823076923076924,0.03162291220556745,0.016918699,0.26471
1504,-9.819230769230769,0.0315610278372591,0.016984917,0.262654
1505,-9.815384615384616,0.031746680942184156,0.017018026,0.26471
1506,-9.811538461538461,0.0316847965738758,0.016951808,0.262654
1507,-9.807692307692307,0.031251605995717344,0.016951808,0.26471
1508,-9.803846153846154,0.03149914346895075,0.017018026,0.262654
1509,-9.8,0.0316847965738758,0.016984917,0.263682
1510,-9.796153846153846,0.03162291220556745,0.016951808,0.264196
1511,-9.792307692307691,0.03149914346895075,0.016984917,0.264196
1512,-9.788461538461538,0.0316847965738758,0.017018026,0.26471
1513,-9.784615384615385,0.031932334047109205,0.016951808,0.262654
1514,-9.78076923076923,0.03149914346895075,0.017018026,0.263168
1515,-9.776923076923076,0.03162291220556745,0.016984917,0.262654
1516,-9.773076923076923,0.03162291220556745,0.017018026,0.26471
1517,-9.76923076923077,0.031746680942184156,0.016951808,0.262654
1518,-9.765384615384615,0.0314372591006424,0.016951808,0.26471
1519,-9.76153846153846,0.031251605995717344,0.016984917,0.262654
1520,-9.757692307692308,0.031746680942184156,0.016918699,0.265224
1521,-9.753846153846155,0.031746680942184156,0.016918699,0.262654
1522,-9.75,0.031375374732334045,0.016984917,0.265224
1523,-9.746153846153845,0.0314372591006424,0.017018026,0.264196
1524,-9.742307692307692,0.031808565310492504,0.016951808,0.264196
1525,-9.73846153846154,0.031932334047109205,0.016918699,0.264196
1526,-9.734615384615385,0.0315610278372591,0.016984917,0.263168
1527,-9.73076923076923,0.03187044967880086,0.016951808,0.263682
1528,-9.726923076923077,0.03187044967880086,0.016918699,0.262654
1529,-9.723076923076924,0.031746680942184156,0.016918699,0.265224
1530,-9.71923076923077,0.0314372591006424,0.016984917,0.262654
1531,-9.715384615384615,0.0314372591006424,0.016984917,0.26471
1532,-9.711538461538462,0.0315610278372591,0.016951808,0.263168
1533,-9.707692307692309,0.0316847965738758,0.016984917,0.26471
1534,-9.703846153846154,0.031251605995717344,0.017018026,0.263168
1535,-9.7,0.03131349036402569,0.016984917,0.263168
1536,-9.696153846153846,0.0316847965738758,0.016918699,0.265224
1537,-9.692307692307693,0.03187044967880086,0.016984917,0.263168
1538,-9.688461538461539,0.0315610278372591,0.017018026,0.26471
1539,-9.684615384615384,0.03131349036402569,0.016984917,0.26214000000000004
1540,-9.680769230769231,0.031746680942184156,0.016951808,0.26471
1541,-9.676923076923078,0.031746680942184156,0.016951808,0.262654
1542,-9.673076923076923,0.0316847965738758,0.017018026,0.265224
1543,-9.669230769230769,0.0314372591006424,0.016951808,0.262654
1544,-9.665384615384616,0.03149914346895075,0.016918699,0.264196
1545,-9.661538461538463,0.031808565310492504,0.016984917,0.263168
1546,-9.657692307692308,0.03149914346895075,0.017018026,0.265224
1547,-9.653846153846153,0.0315610278372591,0.016951808,0.263168
1548,-9.65,0.03187044967880086,0.016951808,0.263682
1549,-9.646153846153847,0.031932334047109205,0.017018026,0.264196
1550,-9.642307692307693,0.031375374732334045,0.016951808,0.264196
1551,-9.638461538461538,0.0314372591006424,0.016918699,0.26471
1552,-9.634615384615385,0.031808565310492504,0.016984917,0.263168
1553,-9.630769230769232,0.03149914346895075,0.017018026,0.264196
1554,-9.626923076923077,0.03131349036402569,0.016951808,0.262654
1555,-9.623076923076923,0.031251605995717344,0.016918699,0.26471
1556,-9.61923076923077,0.0315610278372591,0.017018026,0.262654
1557,-9.615384615384617,0.031932334047109205,0.017018026,0.26471
1558,-9.611538461538462,0.0315610278372591,0.016984917,0.262654
1559,-9.607692307692307,0.031932334047109205,0.016984917,0.26471
1560,-9.603846153846154,0.03199421841541756,0.017018026,0.262654
1561,-9.600000000000001,0.03162291220556745,0.017018026,0.264196
1562,-9.596153846153847,0.03131349036402569,0.016918699,0.264196
1563,-9.592307692307692,0.0314372591006424,0.016951808,0.263682
1564,-9.588461538461539,0.031808565310492504,0.017018026,0.264196
1565,-9.584615384615386,0.031746680942184156,0.016951808,0.262654
1566,-9.580769230769231,0.0315610278372591,0.016984917,0.263682
1567,-9.576923076923077,0.0316847965738758,0.016984917,0.262654
1568,-9.573076923076924,0.031932334047109205,0.017018026,0.26471
1569,-9.569230769230769,0.0315610278372591,0.016951808,0.262654
1570,-9.565384615384616,0.031375374732334045,0.016951808,0.26471
1571,-9.561538461538461,0.03162291220556745,0.016984917,0.263168
1572,-9.557692307692307,0.0316847965738758,0.016984917,0.265224
1573,-9.553846153846154,0.03149914346895075,0.016918699,0.263168
1574,-9.55,0.0314372591006424,0.016951808,0.263682
1575,-9.546153846153846,0.031746680942184156,0.016984917,0.26471
1576,-9.542307692307691,0.0316847965738758,0.016984917,0.263682
1577,-9.538461538461538,0.0315610278372591,0.016918699,0.26471
1578,-9.534615384615385,0.03149914346895075,0.016984917,0.263168
1579,-9.53076923076923,0.031932334047109205,0.016984917,0.265224
1580,-9.526923076923076,0.0316847965738758,0.016984917,0.262654
1581,-9.523076923076923,0.03149914346895075,0.016918699,0.264196
1582,-9.51923076923077,0.03149914346895075,0.017018026,0.262654
1583,-9.515384615384615,0.0315610278372591,0.016984917,0.264196
1584,-9.51153846153846,0.03162291220556745,0.016951808,0.263168
1585,-9.507692307692308,0.031375374732334045,0.017018026,0.265224
1586,-9.503846153846155,0.031808565310492504,0.016984917,0.263168
1587,-9.5,0.03187044967880086,0.016951808,0.263168
1588,-9.496153846153845,0.03162291220556745,0.016918699,0.264196
1589,-9.492307692307692,0.031375374732334045,0.016984917,0.263682
1590,-9.48846153846154,0.0316847965738758,0.016984917,0.26471
1591,-9.484615384615385,0.03187044967880086,0.016951808,0.262654
1592,-9.48076923076923,0.0314372591006424,0.017018026,0.263682
1593,-9.476923076923077,0.03149914346895075,0.016984917,0.26214000000000004
1594,-9.473076923076924,0.0316847965738758,0.016984917,0.265224
1595,-9.46923076923077,0.03162291220556745,0.016918699,0.262654
1596,-9.465384615384615,0.0314372591006424,0.016984917,0.26471
1597,-9.461538461538462,0.0314372591006424,0.016984917,0.262654
1598,-9.457692307692309,0.03187044967880086,0.016918699,0.265224
1599,-9.453846153846154,0.03199421841541756,0.016918699,0.263168
1600,-9.45,0.03162291220556745,0.016984917,0.264196
1601,-9.446153846153846,0.031251605995717344,0.016984917,0.264196
1602,-9.442307692307693,0.0316847965738758,0.016918699,0.264196
1603,-9.438461538461539,0.031808565310492504,0.016918699,0.26471
1604,-9.434615384615384,0.0315610278372591,0.017018026,0.263168
1605,-9.430769230769231,0.0315610278372591,0.016951808,0.26471
1606,-9.426923076923078,0.03162291220556745,0.016918699,0.262654
1607,-9.423076923076923,0.03162291220556745,0.016951808,0.26471
1608,-9.419230769230769,0.0315610278372591,0.017018026,0.262654
1609,-9.415384615384616,0.0315610278372591,0.016984917,0.264196
1610,-9.411538461538463,0.0316847965738758,0.016918699,0.263682
1611,-9.407692307692308,0.03187044967880086,0.016984917,0.264196
1612,-9.403846153846153,0.031746680942184156,0.017018026,0.263682
1613,-9.4,0.03162291220556745,0.016984917,0.263168
1614,-9.396153846153847,0.03162291220556745,0.016918699,0.26471
1615,-9.392307692307693,0.031746680942184156,0.016984917,0.263168
1616,-9.388461538461538,0.0316847965738758,0.017018026,0.26471
1617,-9.384615384615385,0.03149914346895075,0.016951808,0.262654
1618,-9.380769230769232,0.03187044967880086,0.016984917,0.264196
1619,-9.376923076923077,0.031746680942184156,0.016951808,0.262654
1620,-9.373076923076923,0.031746680942184156,0.017018026,0.265224
1621,-9.36923076923077,0.0315610278372591,0.016951808,0.262654
1622,-9.365384615384617,0.03162291220556745,0.016951808,0.26471
1623,-9.361538461538462,0.0316847965738758,0.016984917,0.263168
1624,-9.357692307692307,0.03131349036402569,0.016951808,0.265224
1625,-9.353846153846154,0.031375374732334045,0.016918699,0.263682
