eventnum,SCI0Time32_seconds,utc_datetime
imap_idex_l0_raw_20251217_v001/114,503156655,2025-12-11T13:44:15.883081Z
imap_idex_l0_raw_20251217_v001/115,503156774,2025-12-11T13:46:14.531596Z
imap_idex_l0_raw_20251217_v001/116,503157469,2025-12-11T13:57:49.244737Z
imap_idex_l0_raw_20251217_v001/117,503167223,2025-12-11T16:40:23.631733Z
imap_idex_l0_raw_20251217_v001/118,503173647,2025-12-11T18:27:27.536121Z
imap_idex_l0_raw_20251217_v001/119,503174462,2025-12-11T18:41:02.365507Z
imap_idex_l0_raw_20251217_v001/12,502976072,2025-12-09T11:34:32.231670Z
imap_idex_l0_raw_20251217_v001/120,503178047,2025-12-11T19:40:47.869614Z
imap_idex_l0_raw_20251217_v001/121,503179610,2025-12-11T20:06:50.135144Z
imap_idex_l0_raw_20251217_v001/122,503181397,2025-12-11T20:36:37.778287Z
imap_idex_l0_raw_20251217_v001/123,503182915,2025-12-11T21:01:55.806417Z
imap_idex_l0_raw_20251217_v001/124,503183231,2025-12-11T21:07:11.325593Z
imap_idex_l0_raw_20251217_v001/125,503184254,2025-12-11T21:24:14.414624Z
imap_idex_l0_raw_20251217_v001/126,503191758,2025-12-11T23:29:18.207332Z
imap_idex_l0_raw_20251217_v001/127,503195267,2025-12-12T00:27:47.839604Z
imap_idex_l0_raw_20251217_v001/128,503197767,2025-12-12T01:09:27.488470Z
imap_idex_l0_raw_20251217_v001/129,503198955,2025-12-12T01:29:15.772521Z
imap_idex_l0_raw_20251217_v001/13,502977366,2025-12-09T11:56:06.180136Z
imap_idex_l0_raw_20251217_v001/130,503202192,2025-12-12T02:23:12.176552Z
imap_idex_l0_raw_20251217_v001/131,503202772,2025-12-12T02:32:52.176868Z
imap_idex_l0_raw_20251217_v001/132,503204804,2025-12-12T03:06:44.808955Z
imap_idex_l0_raw_20251217_v001/133,503204941,2025-12-12T03:09:01.801105Z
imap_idex_l0_raw_20251217_v001/134,503206945,2025-12-12T03:42:25.713024Z
imap_idex_l0_raw_20251217_v001/135,503224838,2025-12-12T08:40:38.464593Z
imap_idex_l0_raw_20251217_v001/136,503225992,2025-12-12T08:59:52.401822Z
imap_idex_l0_raw_20251217_v001/137,503226891,2025-12-12T09:14:51.165727Z
imap_idex_l0_raw_20251217_v001/138,503229448,2025-12-12T09:57:28.137865Z
imap_idex_l0_raw_20251217_v001/139,503233373,2025-12-12T11:02:53.914731Z
imap_idex_l0_raw_20251217_v001/14,502980599,2025-12-09T12:49:59.473385Z
imap_idex_l0_raw_20251217_v001/140,503240513,2025-12-12T13:01:53.624327Z
imap_idex_l0_raw_20251217_v001/141,503243197,2025-12-12T13:46:37.712692Z
imap_idex_l0_raw_20251217_v001/142,503246689,2025-12-12T14:44:49.336293Z
imap_idex_l0_raw_20251217_v001/143,503247440,2025-12-12T14:57:20.164318Z
imap_idex_l0_raw_20251217_v001/144,503247897,2025-12-12T15:04:57.209312Z
imap_idex_l0_raw_20251217_v001/145,503250370,2025-12-12T15:46:10.640310Z
imap_idex_l0_raw_20251217_v001/146,503253524,2025-12-12T16:38:44.720897Z
imap_idex_l0_raw_20251217_v001/147,503256393,2025-12-12T17:26:33.820970Z
imap_idex_l0_raw_20251217_v001/148,503261779,2025-12-12T18:56:19.472883Z
imap_idex_l0_raw_20251217_v001/149,503263149,2025-12-12T19:19:09.712774Z
imap_idex_l0_raw_20251217_v001/15,502982389,2025-12-09T13:19:49.674967Z
imap_idex_l0_raw_20251217_v001/150,503267657,2025-12-12T20:34:17.577752Z
imap_idex_l0_raw_20251217_v001/151,503277434,2025-12-12T23:17:14.725331Z
imap_idex_l0_raw_20251217_v001/152,503281598,2025-12-13T00:26:38.238133Z
imap_idex_l0_raw_20251217_v001/153,503292441,2025-12-13T03:27:21.641285Z
imap_idex_l0_raw_20251217_v001/154,503293514,2025-12-13T03:45:14.191929Z
imap_idex_l0_raw_20251217_v001/155,503315448,2025-12-13T09:50:48.198914Z
imap_idex_l0_raw_20251217_v001/156,503316283,2025-12-13T10:04:43.420608Z
imap_idex_l0_raw_20251217_v001/157,503316352,2025-12-13T10:05:52.574103Z
imap_idex_l0_raw_20251217_v001/158,503322662,2025-12-13T11:51:02.760339Z
imap_idex_l0_raw_20251217_v001/159,503323039,2025-12-13T11:57:19.382342Z
imap_idex_l0_raw_20251217_v001/16,502983487,2025-12-09T13:38:07.653789Z
imap_idex_l0_raw_20251217_v001/160,503324612,2025-12-13T12:23:32.638254Z
imap_idex_l0_raw_20251217_v001/161,503329813,2025-12-13T13:50:13.427436Z
imap_idex_l0_raw_20251217_v001/162,503333972,2025-12-13T14:59:32.871620Z
imap_idex_l0_raw_20251217_v001/163,503335720,2025-12-13T15:28:40.674405Z
imap_idex_l0_raw_20251217_v001/164,503342475,2025-12-13T17:21:15.203934Z
imap_idex_l0_raw_20251217_v001/165,503343460,2025-12-13T17:37:40.703704Z
imap_idex_l0_raw_20251217_v001/166,503344388,2025-12-13T17:53:08.125819Z
imap_idex_l0_raw_20251217_v001/167,503354490,2025-12-13T20:41:30.971581Z
imap_idex_l0_raw_20251217_v001/168,503356163,2025-12-13T21:09:23.852586Z
imap_idex_l0_raw_20251217_v001/169,503361081,2025-12-13T22:31:21.881495Z
imap_idex_l0_raw_20251217_v001/17,502990130,2025-12-09T15:28:50.938125Z
imap_idex_l0_raw_20251217_v001/170,503363013,2025-12-13T23:03:33.798246Z
imap_idex_l0_raw_20251217_v001/171,503368627,2025-12-14T00:37:07.196404Z
imap_idex_l0_raw_20251217_v001/172,503369425,2025-12-14T00:50:25.234266Z
imap_idex_l0_raw_20251217_v001/173,503369554,2025-12-14T00:52:34.635518Z
imap_idex_l0_raw_20251217_v001/174,503399234,2025-12-14T09:07:14.873304Z
imap_idex_l0_raw_20251217_v001/175,503400106,2025-12-14T09:21:46.432867Z
imap_idex_l0_raw_20251217_v001/176,503402028,2025-12-14T09:53:48.194700Z
imap_idex_l0_raw_20251217_v001/177,503407644,2025-12-14T11:27:24.407784Z
imap_idex_l0_raw_20251217_v001/178,503417414,2025-12-14T14:10:14.697703Z
imap_idex_l0_raw_20251217_v001/179,503419374,2025-12-14T14:42:54.431805Z
imap_idex_l0_raw_20251217_v001/18,502991371,2025-12-09T15:49:31.661414Z
imap_idex_l0_raw_20251217_v001/180,503422677,2025-12-14T15:37:57.931260Z
imap_idex_l0_raw_20251217_v001/181,503422860,2025-12-14T15:41:00.997467Z
imap_idex_l0_raw_20251217_v001/182,503436610,2025-12-14T19:30:10.436948Z
imap_idex_l0_raw_20251217_v001/183,503444735,2025-12-14T21:45:35.787345Z
imap_idex_l0_raw_20251217_v001/184,503465011,2025-12-15T03:23:31.146447Z
imap_idex_l0_raw_20251217_v001/185,503465314,2025-12-15T03:28:34.425524Z
imap_idex_l0_raw_20251217_v001/186,503477218,2025-12-15T06:46:58.340107Z
imap_idex_l0_raw_20251217_v001/187,503482092,2025-12-15T08:08:12.610856Z
imap_idex_l0_raw_20251217_v001/188,503482229,2025-12-15T08:10:29.783283Z
imap_idex_l0_raw_20251217_v001/189,503495117,2025-12-15T11:45:17.452300Z
imap_idex_l0_raw_20251217_v001/19,502991683,2025-12-09T15:54:43.369056Z
imap_idex_l0_raw_20251217_v001/190,503495807,2025-12-15T11:56:47.709966Z
imap_idex_l0_raw_20251217_v001/191,503499644,2025-12-15T13:00:44.881974Z
imap_idex_l0_raw_20251217_v001/192,503500988,2025-12-15T13:23:08.167392Z
