eventnum,SCI0Time32
imap_idex_l0_raw_20251217_v001.h5/38,503017049
imap_idex_l0_raw_20251217_v001.h5/39,503017063
imap_idex_l0_raw_20251217_v001.h5/4,503625743
imap_idex_l0_raw_20251217_v001.h5/40,503017727
imap_idex_l0_raw_20251217_v001.h5/41,503017949
imap_idex_l0_raw_20251217_v001.h5/42,503019579
imap_idex_l0_raw_20251217_v001.h5/43,503020584
imap_idex_l0_raw_20251217_v001.h5/44,503020740
imap_idex_l0_raw_20251217_v001.h5/45,503024956
imap_idex_l0_raw_20251217_v001.h5/46,503025349
imap_idex_l0_raw_20251217_v001.h5/47,503025666
imap_idex_l0_raw_20251217_v001.h5/48,503026407
imap_idex_l0_raw_20251217_v001.h5/49,503026859
imap_idex_l0_raw_20251217_v001.h5/5,503625751
imap_idex_l0_raw_20251217_v001.h5/50,503027888
imap_idex_l0_raw_20251217_v001.h5/51,503031559
imap_idex_l0_raw_20251217_v001.h5/52,503033881
imap_idex_l0_raw_20251217_v001.h5/53,503035395
imap_idex_l0_raw_20251217_v001.h5/54,503038176
imap_idex_l0_raw_20251217_v001.h5/55,503043450
imap_idex_l0_raw_20251217_v001.h5/56,503044882
imap_idex_l0_raw_20251217_v001.h5/57,503045139
imap_idex_l0_raw_20251217_v001.h5/58,503045462
imap_idex_l0_raw_20251217_v001.h5/59,503047291
imap_idex_l0_raw_20251217_v001.h5/6,503625759
imap_idex_l0_raw_20251217_v001.h5/60,503048554
imap_idex_l0_raw_20251217_v001.h5/61,503051177
imap_idex_l0_raw_20251217_v001.h5/62,503051361
imap_idex_l0_raw_20251217_v001.h5/63,503051649
imap_idex_l0_raw_20251217_v001.h5/64,503052026
imap_idex_l0_raw_20251217_v001.h5/65,503054756
imap_idex_l0_raw_20251217_v001.h5/66,503054790
imap_idex_l0_raw_20251217_v001.h5/67,503055104
imap_idex_l0_raw_20251217_v001.h5/68,503055954
imap_idex_l0_raw_20251217_v001.h5/69,503058386
imap_idex_l0_raw_20251217_v001.h5/7,503625773
imap_idex_l0_raw_20251217_v001.h5/70,503060832
imap_idex_l0_raw_20251217_v001.h5/71,503062488
imap_idex_l0_raw_20251217_v001.h5/72,503065210
imap_idex_l0_raw_20251217_v001.h5/73,503071049
imap_idex_l0_raw_20251217_v001.h5/74,503072883
imap_idex_l0_raw_20251217_v001.h5/75,503076463
imap_idex_l0_raw_20251217_v001.h5/76,503079673
imap_idex_l0_raw_20251217_v001.h5/77,503083144
imap_idex_l0_raw_20251217_v001.h5/78,503083910
imap_idex_l0_raw_20251217_v001.h5/79,503084354
imap_idex_l0_raw_20251217_v001.h5/8,503625785
imap_idex_l0_raw_20251217_v001.h5/80,503086784
imap_idex_l0_raw_20251217_v001.h5/81,503088179
imap_idex_l0_raw_20251217_v001.h5/82,503091799
imap_idex_l0_raw_20251217_v001.h5/83,503093253
imap_idex_l0_raw_20251217_v001.h5/84,503094947
imap_idex_l0_raw_20251217_v001.h5/85,503098093
imap_idex_l0_raw_20251217_v001.h5/86,503099149
imap_idex_l0_raw_20251217_v001.h5/87,503101009
imap_idex_l0_raw_20251217_v001.h5/88,503101824
imap_idex_l0_raw_20251217_v001.h5/89,503102681
imap_idex_l0_raw_20251217_v001.h5/9,503625797
imap_idex_l0_raw_20251217_v001.h5/90,503102759
imap_idex_l0_raw_20251217_v001.h5/91,503105157
imap_idex_l0_raw_20251217_v001.h5/92,503105186
imap_idex_l0_raw_20251217_v001.h5/93,503106145
imap_idex_l0_raw_20251217_v001.h5/94,503109913
imap_idex_l0_raw_20251217_v001.h5/95,503110063
imap_idex_l0_raw_20251217_v001.h5/96,503110661
imap_idex_l0_raw_20251217_v001.h5/97,503121069
imap_idex_l0_raw_20251217_v001.h5/98,503123617
imap_idex_l0_raw_20251217_v001.h5/99,503124210
imap_idex_l0_raw_20251218_v003.h5/1,502762339
imap_idex_l0_raw_20251218_v003.h5/10,502779742
imap_idex_l0_raw_20251218_v003.h5/100,502919056
imap_idex_l0_raw_20251218_v003.h5/101,502921132
imap_idex_l0_raw_20251218_v003.h5/102,502923337
imap_idex_l0_raw_20251218_v003.h5/103,502924012
imap_idex_l0_raw_20251218_v003.h5/104,502925559
imap_idex_l0_raw_20251218_v003.h5/105,502926728
imap_idex_l0_raw_20251218_v003.h5/106,502926791
imap_idex_l0_raw_20251218_v003.h5/107,502927683
imap_idex_l0_raw_20251218_v003.h5/108,502928574
imap_idex_l0_raw_20251218_v003.h5/109,502929346
imap_idex_l0_raw_20251218_v003.h5/11,502780215
imap_idex_l0_raw_20251218_v003.h5/110,502929378
imap_idex_l0_raw_20251218_v003.h5/111,502930581
imap_idex_l0_raw_20251218_v003.h5/112,502931810
imap_idex_l0_raw_20251218_v003.h5/113,502931984
imap_idex_l0_raw_20251218_v003.h5/114,502933015
imap_idex_l0_raw_20251218_v003.h5/115,502933688
imap_idex_l0_raw_20251218_v003.h5/12,502781186
imap_idex_l0_raw_20251218_v003.h5/13,502783844
imap_idex_l0_raw_20251218_v003.h5/14,502785394
imap_idex_l0_raw_20251218_v003.h5/15,502785833
imap_idex_l0_raw_20251218_v003.h5/16,502786792
imap_idex_l0_raw_20251218_v003.h5/17,502789226
imap_idex_l0_raw_20251218_v003.h5/18,502789809
imap_idex_l0_raw_20251218_v003.h5/19,502790404
imap_idex_l0_raw_20251218_v003.h5/2,502762668
imap_idex_l0_raw_20251218_v003.h5/20,502790772
imap_idex_l0_raw_20251218_v003.h5/21,502791426
imap_idex_l0_raw_20251218_v003.h5/22,502795722
imap_idex_l0_raw_20251218_v003.h5/23,502799951
imap_idex_l0_raw_20251218_v003.h5/24,502800848
imap_idex_l0_raw_20251218_v003.h5/25,502801459
imap_idex_l0_raw_20251218_v003.h5/26,502803451
imap_idex_l0_raw_20251218_v003.h5/27,502804337
imap_idex_l0_raw_20251218_v003.h5/28,502805930
imap_idex_l0_raw_20251218_v003.h5/29,502808076
imap_idex_l0_raw_20251218_v003.h5/3,502763204
imap_idex_l0_raw_20251218_v003.h5/30,502811718
imap_idex_l0_raw_20251218_v003.h5/31,502812489
imap_idex_l0_raw_20251218_v003.h5/32,502815011
imap_idex_l0_raw_20251218_v003.h5/33,502815688
imap_idex_l0_raw_20251218_v003.h5/34,502815883
imap_idex_l0_raw_20251218_v003.h5/35,502817948
imap_idex_l0_raw_20251218_v003.h5/36,502819061
imap_idex_l0_raw_20251218_v003.h5/37,502819685
imap_idex_l0_raw_20251218_v003.h5/38,502820245
imap_idex_l0_raw_20251218_v003.h5/39,502823815
imap_idex_l0_raw_20251218_v003.h5/4,502767315
imap_idex_l0_raw_20251218_v003.h5/40,502824102
imap_idex_l0_raw_20251218_v003.h5/41,502824120
imap_idex_l0_raw_20251218_v003.h5/42,502825517
imap_idex_l0_raw_20251218_v003.h5/43,502827784
