Dust Event ID,UTC Timestamp,Local Timestamp,Integer Timestamp (ms),Velocity (m/s),Mass (kg),Charge (C),Radius (m) ,High Voltage (MV),Current Group ID,Current Experiment Name,Current Experiment Description,Estimate Quality,Dust Type
8349450,20230725163803.461000000,20230725103803.461000000,1690303083461,2.194520E+4,1.799768E-18,1.972530E-16,3.792953E-8,2.197063E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",3," Iron "
8349451,20230725163811.694000000,20230725103811.694000000,1690303091694,1.865270E+4,2.828556E-18,2.239630E-16,4.409882E-8,2.197063E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",5," Iron "
8349453,20230725163835.779000000,20230725103835.779000000,1690303115779,2.537650E+4,9.914983E-19,1.453060E-16,3.109348E-8,2.197063E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",5," Iron "
8349454,20230725163859.436999999,20230725103859.436999999,1690303139437,2.141420E+4,2.612284E-18,2.724640E-16,4.294495E-8,2.198294E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",5," Iron "
8349455,20230725164107.712000000,20230725104107.712000000,1690303267712,2.528620E+4,3.045774E-18,4.431930E-16,4.519994E-8,2.197063E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",4," Iron "
8349456,20230725164124.765999999,20230725104124.765999999,1690303284766,2.003050E+4,4.017141E-18,3.670050E-16,4.956910E-8,2.195833E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",5," Iron "
8349460,20230725164317.569999999,20230725104317.569999999,1690303397570,1.939310E+4,1.930415E-18,1.652240E-16,3.882596E-8,2.197063E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",4," Iron "
8349461,20230725164446.452999999,20230725104446.452999999,1690303486453,2.342770E+4,1.383459E-18,1.728040E-16,3.474515E-8,2.197063E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",4," Iron "
8349462,20230725164501.658999999,20230725104501.658999999,1690303501659,1.956630E+4,2.865531E-18,2.496610E-16,4.429014E-8,2.197063E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",5," Iron "
8349463,20230725164519.962999999,20230725104519.962999999,1690303519963,1.993730E+4,2.233364E-18,2.019190E-16,4.075915E-8,2.198294E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",5," Iron "
