time,Det_Voltage,TOFHGMAX,TOFHGMIN,TOFLGMAX,TOFLGMIN,TOFMGMAX,TOFMGMIN,Target_High_Gain_Max,Target_High_Gain_Min,Target_Low_Gain_Max,Target_Low_Gain_Min
2025-357T02:48:55.841,2001.4632,,,,,,,,,,
2025-357T02:48:58.841,,523.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:49:01.841,2001.4632,,,,,,,,,,
2025-357T02:49:07.841,,524.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-357T02:49:08.841,2001.4632,,,,,,,,,,
2025-357T02:49:13.841,2001.4632,,,,,,,,,,
2025-357T02:49:16.841,,523.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:49:19.841,2001.4632,,,,,,,,,,
2025-357T02:49:25.841,,525.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:49:26.841,2001.4632,,,,,,,,,,
2025-357T02:49:31.841,2001.4632,,,,,,,,,,
2025-357T02:49:34.841,,524.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:49:37.841,2001.4632,,,,,,,,,,
2025-357T02:49:43.841,,525.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:49:44.841,2001.4632,,,,,,,,,,
2025-357T02:49:49.841,2001.4632,,,,,,,,,,
2025-357T02:49:52.841,,528.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:49:55.841,2001.4632,,,,,,,,,,
2025-357T02:50:01.841,,523.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-357T02:50:02.841,2001.4632,,,,,,,,,,
2025-357T02:50:07.841,2001.4632,,,,,,,,,,
2025-357T02:50:10.841,,524.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:50:13.840,2001.4632,,,,,,,,,,
2025-357T02:50:19.841,,524.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:50:20.840,2001.4632,,,,,,,,,,
2025-357T02:50:25.840,2001.4632,,,,,,,,,,
2025-357T02:50:28.841,,524.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:50:31.840,2001.4632,,,,,,,,,,
2025-357T02:50:37.841,,525.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:50:38.840,2001.4632,,,,,,,,,,
2025-357T02:50:43.840,2001.4632,,,,,,,,,,
2025-357T02:50:46.841,,524.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:50:49.840,2001.4632,,,,,,,,,,
2025-357T02:50:55.841,,539.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:50:56.840,2001.4632,,,,,,,,,,
2025-357T02:51:01.840,2001.4632,,,,,,,,,,
2025-357T02:51:04.841,,538.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:51:07.840,2001.4632,,,,,,,,,,
2025-357T02:51:13.841,,536.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:51:14.840,2001.4632,,,,,,,,,,
2025-357T02:51:19.840,2001.4632,,,,,,,,,,
2025-357T02:51:22.840,,527.0,499.0,518.0,509.0,516.0,510.0,2048.0,2039.0,2066.0,2061.0
2025-357T02:51:25.840,2001.4632,,,,,,,,,,
2025-357T02:51:31.840,,537.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:51:32.840,2001.4632,,,,,,,,,,
2025-357T02:51:37.840,2001.4632,,,,,,,,,,
2025-357T02:51:40.840,,532.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:51:43.840,2001.4632,,,,,,,,,,
2025-357T02:51:49.840,,524.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:51:50.840,2001.4632,,,,,,,,,,
2025-357T02:51:55.840,2001.4632,,,,,,,,,,
2025-357T02:51:58.840,,549.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:52:01.840,2001.4632,,,,,,,,,,
2025-357T02:52:07.840,,523.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:52:08.840,2001.4632,,,,,,,,,,
2025-357T02:52:13.840,2001.4632,,,,,,,,,,
2025-357T02:52:16.840,,525.0,499.0,518.0,509.0,516.0,510.0,2052.0,2037.0,2066.0,2061.0
2025-357T02:52:19.840,2001.4632,,,,,,,,,,
2025-357T02:52:25.840,,525.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:52:26.840,2001.4632,,,,,,,,,,
2025-357T02:52:31.840,2001.4632,,,,,,,,,,
2025-357T02:52:34.840,,524.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:52:37.840,2001.4632,,,,,,,,,,
2025-357T02:52:43.840,,533.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-357T02:52:44.840,2001.4632,,,,,,,,,,
2025-357T02:52:49.839,2001.4632,,,,,,,,,,
2025-357T02:52:52.840,,524.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:52:55.839,2001.4632,,,,,,,,,,
2025-357T02:53:01.840,,536.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:53:02.839,2001.4632,,,,,,,,,,
2025-357T02:53:07.839,2001.4632,,,,,,,,,,
2025-357T02:53:10.840,,531.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:53:13.839,2001.4632,,,,,,,,,,
2025-357T02:53:19.840,,541.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-357T02:53:20.839,2001.4632,,,,,,,,,,
2025-357T02:53:25.839,2001.4632,,,,,,,,,,
2025-357T02:53:28.840,,565.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:53:31.839,2001.4632,,,,,,,,,,
2025-357T02:53:37.840,,540.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:53:38.839,2001.4632,,,,,,,,,,
2025-357T02:53:43.839,2001.4632,,,,,,,,,,
2025-357T02:53:46.840,,529.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:53:49.839,2001.4632,,,,,,,,,,
2025-357T02:53:55.839,,546.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:53:56.839,2001.4632,,,,,,,,,,
2025-357T02:54:01.839,2001.4632,,,,,,,,,,
2025-357T02:54:04.839,,525.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:54:07.839,2001.4632,,,,,,,,,,
2025-357T02:54:13.839,,529.0,499.0,518.0,509.0,516.0,510.0,2048.0,2039.0,2066.0,2061.0
2025-357T02:54:14.839,2001.4632,,,,,,,,,,
2025-357T02:54:19.839,2001.4632,,,,,,,,,,
2025-357T02:54:22.839,,528.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:54:25.839,2001.4632,,,,,,,,,,
2025-357T02:54:31.839,,528.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:54:32.839,2001.4632,,,,,,,,,,
2025-357T02:54:37.839,2001.4632,,,,,,,,,,
2025-357T02:54:40.839,,524.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:54:43.839,2001.4632,,,,,,,,,,
2025-357T02:54:49.839,,549.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:54:50.839,2001.4632,,,,,,,,,,
2025-357T02:54:55.839,2001.4632,,,,,,,,,,
2025-357T02:54:58.839,,529.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:55:01.839,2001.4632,,,,,,,,,,
2025-357T02:55:07.839,,525.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-357T02:55:08.839,2001.4632,,,,,,,,,,
2025-357T02:55:13.839,2001.4632,,,,,,,,,,
2025-357T02:55:16.839,,539.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:55:19.839,2001.4632,,,,,,,,,,
2025-357T02:55:25.839,,531.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-357T02:55:26.838,2001.4632,,,,,,,,,,
2025-357T02:55:31.838,2001.4632,,,,,,,,,,
2025-357T02:55:34.839,,524.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:55:37.838,2001.4632,,,,,,,,,,
2025-357T02:55:43.839,,527.0,499.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:55:44.838,2001.4632,,,,,,,,,,
2025-357T02:55:49.838,2001.4632,,,,,,,,,,
2025-357T02:55:52.839,,564.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-357T02:55:55.838,2001.4632,,,,,,,,,,
2025-357T02:56:01.839,,538.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:56:02.838,2001.4632,,,,,,,,,,
2025-357T02:56:07.838,2001.4632,,,,,,,,,,
2025-357T02:56:10.839,,532.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:56:13.838,2001.4632,,,,,,,,,,
2025-357T02:56:19.839,,550.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-357T02:56:20.838,2001.4632,,,,,,,,,,
2025-357T02:56:25.838,2001.4632,,,,,,,,,,
2025-357T02:56:28.838,,531.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:56:31.838,2001.4632,,,,,,,,,,
2025-357T02:56:37.838,,536.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:56:38.838,2001.4632,,,,,,,,,,
